,name,address,price,speciality,review,services,phone number,website,latitude,longitude
0,La Rotonde,"37 promenade des Anglais, Nice, 06000, France", 49 - 89 EUR , Cuisine méditerranéenne ,"La brasserie – en forme de rotonde – du palace mythique est résolument entrée dans la modernité. Dans cet espace lumineux (qui bénéficie d’une terrasse), on pioche dans une carte (conçue par la cheffe étoilée Virginie Basselot) qui célèbre une cuisine franche et colorée aux accents méditerranéens, avec des clins d'œil à la tradition niçoise…","['Restaurant non fumeur ', 'Repas en terrasse ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']", +33 4 93 16 64 11, www.hotel-negresco-nice.com,43.6942999,7.2579981
1,La Montgolfière-Henri Geraci,"16 rue Basse, Monaco, 98000, France", 31 - 70 EUR , Cuisine moderne ,"Dans une ruelle piétonne du rocher, à deux pas du palais princier, ce petit restaurant familial est un parfait contrepied à toutes les adresses branchées et ""bling-bling"" de Monaco ! En toute simplicité, le chef signe une cuisine soignée et goûteuse, parfois mâtinée d'influences asiatiques. Accueil charmant.","['Restaurant non fumeur ', 'Repas en terrasse ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Carte de crédit Visa ', 'Mastercard ']",,,43.7310300,7.4225990
2,Maya Bay,"24 avenue Princesse-Grace, Monte-Carlo, 98000, France", 18 - 180 EUR ," Cuisine thaïlandaise, Cuisine japonaise ","Dans un même lieu, un restaurant japonais et un restaurant thaïlandais et une même ambiance asiatique dans un décor contemporain glamour, nimbé de musique douce. Des produits de qualité, des épices maîtrisées et une même gamme de prix et de qualité ; il ne reste qu'à choisir entre le parfumé et l'épure.","['Accès handicapés ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Menu végétarien ', 'Salon particulier ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,43.7488000,7.4354800
3,Beefbar,"42 quai Jean-Charles-Rey, port de Fontvieille, Fontvieille, 98000, France", 45 - 130 EUR ," Spécialités de Viandes, Spécialités de Grillades ","Sur les quais du port de plaisance de Fontvieille, ce ""bar à viandes"" branché propose de belles viandes de bœuf (wagyu, black angus, certaines issues du terroir français) mais aussi de la street food, des salades gourmandes et quelques poissons. Cadre tendance, très prisé de la clientèle locale, tout comme les belles vitrines de maturation des viandes !","['Vue ', 'Restaurant non fumeur ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']", +377 97 77 09 29, www.monaco.beefbar.com,43.7278400,7.4215800
4,Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"Place du Casino, Monte-Carlo, 98000, France", 180 - 380 EUR , Cuisine méditerranéenne ,"Difficile de présenter le Louis XV, sans évoquer Alain Ducasse. Son existence se conjugue au superlatif. L’enfant d’Orthez, aux amours méditerranéennes, chef et homme d’affaires brillant, devenu citoyen monégasque, se trouve à la tête d’un empire de plus de 20 établissements, et 1 400 employés sur tous les continents du monde. Il n’a que 33 ans lorsqu’il décroche trois étoiles au Louis XV pour un niveau qui ne se démentira jamais. Et ce n’est pas un hasard si les menus autour de la ""Naturalité"", proposés au Plaza Athénée aujourd’hui, s’inspirent du menu ""Jardin de Provence"" à Monaco autour des légumes, lancé le 27 mai 1987. La signature Alain Ducasse est ici mise en scène par son fidèle lieutenant, Dominique Lory. On y célèbre la vérité du produit et la déesse Méditerranée, avec maestria, toujours.","['Accès handicapés ', 'Voiturier ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Garage ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,43.7392006,7.4273302
5,La Marée,"7 avenue J.-F.-Kennedy, Monte-Carlo, 98000, France", 32 - 150 EUR , Poissons et fruits de mer ,"La salle, bordée de grandes baies vitrées, offre une vue imprenable sur le port et ses yachts. Dans l'assiette, la mer est à l'honneur : poissons (rougets, loup, sole, turbot) mais aussi coquillages et crustacés de qualité... Les amateurs apprécieront.","['Vue ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Menu végétarien ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']", +377 97 97 80 00, www.lamaree.mc,43.7372220,7.4250132
6,Vistamar,"Square Beaumarchais, Monte-Carlo, 98000, France", 59 - 190 EUR , Cuisine moderne ,"Le Vistamar n'a pas usurpé son nom. La table de l'hôtel Hermitage de Monte-Carlo est un restaurant mythique, ne serait-ce que pour sa sublime terrasse regardant le port et le littoral monégasque, et qui semble tenir tête à la fois aux cieux et aux flots. Ici, dans ce palace de la Belle Époque, on profite du beau décor moderne tout en teintes douces, écrin rêvée pour une gastronomie raffinée. Le chef et sa brigade composent pour vous une cuisine du sud saine et légère, raffinée et colorée, orientée vers le bien-être. Les beaux produits – légumes, poissons de la pêche durable – se taillent la part du lion. Sans oublier le respect des saisons, la fraîcheur des produits, la rigueur d'exécution. Une table historique.","['Vue ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Menu végétarien ', 'Salon particulier ', 'Garage ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,43.7385250,7.4259863
7,Ômer,"Place du Casino, Monaco, 98000, France", 55 - 100 EUR , Cuisine méditerranéenne ,"Il souffle comme une brise méditerranéenne dans l'aile rotonde de l'Hôtel de Paris, transportée dans les bagages d'Alain Ducasse. Ici, rien n'a été laissé au hasard : décor de Pierre-Yves Rochon, matériaux nobles (cuir, bois et bronze brossé) et esprit art déco. Le voyage se poursuit dans l'assiette avec une carte alléchante aux saveurs du sud. Belle terrasse pour les beaux jours.","['Accès handicapés ', 'Voiturier ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']", +377 98 06 39 39, www.montecarlosbm.com,43.7390981,7.4276585
8,Le Blue Bay,"40 avenue Princesse-Grace, Monte-Carlo, 98000, France", 90 - 180 EUR , Cuisine créative ,"Posé au bord de la presqu'île du Larvotto, avec une vue imprenable sur la pointe de Roquebrune-Cap-Martin, le Monte Carlo Bay Hotel and Resort impressionne par son faste digne d’un palace de Las Vegas. De la Martinique à Monaco, d'un rocher à l'autre, le talentueux chef Marcel Ravin a bourlingué, de l’Alsace à la Belgique, en passant par les Caraïbes. Au fil de l’eau, il choisit ses mentors parmi les plus grands, de Bernard Loiseau à Joël Robuchon, de Marc Veyrat à Alain Ducasse. Aujourd'hui, sa sensibilité voyageuse marque chacune de ses ingénieuses créations, soigneusement architecturées et débordantes d’émotions. Avec pour superbe horizon, une terrasse ouvrant grand sur la mer...","['Accès handicapés ', 'Voiturier ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Salon particulier ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ', 'Carte de crédit Diners Club ']",,,43.7488966,7.4379746
9,Loga,"25 boulevard des Moulins, Monte-Carlo, 98000, France", 38 - 98 EUR , Cuisine traditionnelle ,"La cuisine vitrée donne sur une salle à manger coquette et chaleureuse : on est déjà séduit. En véritable passionné, le chef travaille viandes, poissons et pâtes avec la même dévotion ; ne manquez pas sa spécialité : l'escalope milanaise ""oreille d'éléphant"", aplatie jusqu'à atteindre 27 cm de long...","['Restaurant non fumeur ', 'Repas en terrasse ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ', 'Carte de crédit Diners Club ']",,,43.7433700,7.4283240
