,nom,naissance,nationalité,distinction,age,nb_distinction,nb_star_chef
0,Michel Troisgros,1958-04-02,Français,,62,1,3
1,Michel Guérard,1933-03-27,Français,,87,1,3
2,Georges Blanc,1943-01-02,Français,"['3 étoiles au Guide Michelin', '4 toques au Gault-Millau']",77,2,3
3,Bernard Pacaud,1947-09-29,Français,['3 étoiles au Guide Michelin'],73,1,3
4,Pierre Gagnaire,1950-04-09,Français,,70,1,3
5,Alain Passard,1956-08-04,Français,"['Trois étoiles au Guide Michelin', '5 toques au Gault et Millau']",64,2,3
6,Guy Savoy,1953-07-24,Français,,67,1,3
7,Alain Ducasse,1956-09-13,Français,"['trois étoiles au Guide Michelin', 'Chevalier de la Légion d’honneur']",64,2,3
8,Régis Marcon,1956-06-04,Français,,64,1,3
9,Frédéric Anton,1964-10-15,Français,"['3 étoiles au Guide Michelin', 'Meilleur Ouvrier de France']",56,2,3
10,Anne-Sophie Pic,1969-07-12,Français,,51,1,3
11,Gérald Passédat,1960-03-24,Français,,60,1,3
12,Éric Frechon,1963-11-16,Français,"['3 étoiles au Guide Michelin', ""Chevalier de la Légion d'Honneur""]",57,2,3
13,Gilles Goujon,1961-12-10,Français,['Trois étoiles au Guide Michelin'],58,1,3
14,Éric Pras,1972-03-01,Français,['Meilleur ouvrier de France'],48,2,3
15,Emmanuel Renaut,1968-01-26,Français,"['Meilleur ouvrier de France', '2004', '3 étoiles Michelin', '2012']",52,4,3
16,Arnaud Donckele,1977-03-29,Français,,43,1,3
17,Arnaud Lallement,1974-06-28,Français,['3 étoiles au Guide Michelin'],46,1,3
18,Yannick Alléno,1968-12-16,Français,"['3 étoiles au Guide Michelin', 'Mérite agricole', 'Ordre du Mérite', 'Arts et des Lettres']",51,4,3
20,Christian Le Squer,1962-09-30,Français,"['Trois étoiles au Guide Michelin', 'Gault et Millau']",58,2,3
22,Laurent Petit,1963-06-22,Français,,57,1,3
23,Mauro Colagreco,1976-10-05,Argentin,,44,1,3
24,Christopher Coutanceau,1978-10-12,Français,,42,1,3
25,Kei Kobayashi,1977-08-29,Japonais,,43,1,3
26,Glenn Viel,1980-01-02,Français,,40,1,3
