,Chef,Établissement,Localité,Département,Région,naissance,nationalité,distinction,age,nb_distinction,nb_star_chef
0,Christian Sinicropi,La Palme d'Or (hôtel Martinez),Cannes,06 Alpes-Maritimes,Provence-Alpes-Côte d'Azur,1971-09-13 00:00:00.000000000,Français,"['2 étoiles au Guide Michelin', '18/20 au Gault-Millau']",49.0,2.0,2.0
1,Arnaud Faye,La Chèvre d'Or,Èze,06 Alpes-Maritimes,Provence-Alpes-Côte d'Azur,,,,,,
2,Bruno  Cirino,Hostellerie Jérôme,La Turbie,06 Alpes-Maritimes,Provence-Alpes-Côte d'Azur,,,,,,
3,Bruno Oger,Villa Archange,Le Cannet,06 Alpes-Maritimes,Provence-Alpes-Côte d'Azur,1966-05-09 00:00:00.000000000,Français,['2 étoiles au Guide Michelin'],54.0,1.0,2.0
4,Mickaël et Gaël Tourteaux,Flaveur,Nice,06 Alpes-Maritimes,Provence-Alpes-Côte d'Azur,,,,,,
5,Franck Putelat,La Table de Franck Putelat,Carcassonne,11 Aude,Occitanie,,,,,,
6,Lionel Giraud,La Table Saint-Crescent,Narbonne,11 Aude,Occitanie,,,,,,
7,Sébastien Bras,Bras,Laguiole,12 Aveyron,Occitanie,1946-11-04 00:00:00.000000000,Français,,74.0,1.0,2.0
8,Jean-Luc Rabanel,L'Atelier de Jean Luc Rabanel,Arles,13 Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,1964-01-14 00:00:00.000000000,Français,['Chevalier des Arts et des Lettres'],56.0,2.0,2.0
9,Dimitri Droisneau,La Villa Madie,Cassis,13 Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,,,,,,
10,Alexandre Mazzia,AM par Alexandre Mazzia,Marseille,13 Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,1976-04-30 00:00:00.000000000,Français,,44.0,1.0,2.0
11,Alexandre Bourdas,Sa.Qua.Na,Honfleur,14 Calvados,Normandie,,,,,,
12,Serge Vieira,Serge Vieira,Chaudes-Aigues,15 Cantal,Auvergne-Rhône-Alpes,,,,,,
13,Fabio Bragagnolo,Casadelmar,Porto-Vecchio,2A Corse-du-Sud,Corse,,,,,,
14,William Frachot,Hostellerie du Chapeau Rouge,Dijon,21 Côte-d'Or,Bourgogne-Franche-Comté,,,,,,
15,Patrick Bertron,Le Relais Bernard Loiseau,Saulieu,21 Côte-d'Or,Bourgogne-Franche-Comté,1962-01-22 00:00:00.000000000,Français,,58.0,1.0,2.0
16,Jacques & Jean-Paul Bertrand,Les Cèdres,Granges-les-Beaumont,26 Drôme,Auvergne-Rhône-Alpes,,,,,,
17,Olivier Bellin,Auberge des Glazicks,Plomodiern,29 Finistère,région Bretagne,1971-08-08 00:00:00.000000000,Français,,49.0,1.0,2.0
18,Michel Kayser,Alexandre,Garons,30 Gard,Occitanie,,,,,,
19,Michel Sarran,Michel Sarran,Toulouse,31 Haute-Garonne,Occitanie,1961-04-18 00:00:00.000000000,Français,,59.0,1.0,2.0
20,Pierre Lambinon,Py-r,Toulouse,31 Haute-Garonne,Occitanie,,,,,,
21,Bernard Bach,Le Puits Saint-Jacques,Pujaudran,32 Gers,Occitanie,1961-03-16 00:00:00.000000000,Français,['2 étoiles au Guide Michelin'],59.0,1.0,2.0
22,Gordon Ramsay,Le  Pressoir d'Argent,Bordeaux,33 Gironde,Nouvelle-Aquitaine,1966-11-08 00:00:00.000000000,Britannique,,54.0,1.0,2.0
23,Pierre Gagnaire,La  Grande Maison de Bernard Magrez,Bordeaux,33 Gironde,Nouvelle-Aquitaine,1950-04-09 00:00:00.000000000,Français,,70.0,1.0,3.0
24,Stéphane Carrade,Le Skiff Club,La Teste-de-Buch,33 Gironde,Nouvelle-Aquitaine,,,,,,
25,Nicolas Masse,La Grand'Vigne,Martillac,33 Gironde,Nouvelle-Aquitaine,,,,,,
26,Ronan  Kervarrec,Hostellerie  de Plaisance,Saint-Emilion,33 Gironde,Nouvelle-Aquitaine,,,,,,
27,Hugo Roellinger,Coquillage,Cancale,35 Ille-et-Vilaine,région Bretagne,1988-01-01 00:00:00.000000000,Français,,32.0,1.0,2.0
28,Christophe Aribert,Maison Aribert,Uriage-les-Bains,38 Isère,Auvergne-Rhône-Alpes,1971-04-25 00:00:00.000000000,Français,,49.0,1.0,2.0
