,Année,Chef,Établissement,Localité,Département,Région
1,1968,Michel Troisgros,Le Bois sans Feuilles,Ouches,42 Loire,Auvergne-Rhône-Alpes
2,1977,Michel Guérard,Les Prés d'Eugénie,Eugénie-les-Bains,40 Landes,Nouvelle-Aquitaine
3,1981,Georges Blanc,Georges Blanc,Vonnas,01 Ain,Auvergne-Rhône-Alpes
4,1986,Bernard Pacaud,L'Ambroisie,Paris 4e,75 Paris,Île-de-France
5,1993,Pierre Gagnaire,Pierre Gagnaire,Paris 8e,75 Paris,Île-de-France
6,1996,Alain Passard,L'Arpège,Paris 7e,75 Paris,Île-de-France
7,2002,Guy Savoy,Guy Savoy,Paris 6e,75 Paris,Île-de-France
8,2003,Alain Ducasse,Le Louis XV - Alain Ducasse,Monte-Carlo,,Monaco
9,2005,Régis Marcon,Régis et Jacques Marcon,Saint-Bonnet-le-Froid,43 Haute-Loire,Auvergne-Rhône-Alpes
10,2007,Frédéric Anton,Le Pré Catelan,Paris 16e,75 Paris,Île-de-France
11,2007,Anne-Sophie Pic,Maison Pic,Valence,26 Drôme,Auvergne-Rhône-Alpes
12,2008,Gérald Passédat,Le Petit Nice,Marseille,13 Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
13,2009,Éric Frechon,Epicure au Bristol,Paris 8e,75 Paris,Île-de-France
14,2010,Gilles Goujon,Auberge du Vieux Puits,Fontjoncouse,11 Aude,Occitanie
15,2010,Éric Pras,Lameloise,Chagny,71 Saône-et-Loire,Bourgogne-Franche-Comté
16,2012,Emmanuel Renaut,Flocons de Sel,Megève,74 Haute-Savoie,Auvergne-Rhône-Alpes
17,2013,Arnaud Donckele,La Vague d'Or,Saint-Tropez,83 Var,Provence-Alpes-Côte d'Azur
18,2014,Arnaud Lallement,L'Assiette Champenoise,Tinqueux,51 Marne,Grand Est
19,2015,Yannick Alléno,Ledoyen,Paris 8e,75 Paris,Île-de-France
20,2015,René et Maxime Meilleur,La Bouitte,Saint-Martin-de-Belleville,73 Savoie,Auvergne-Rhône-Alpes
21,2016,Alain Ducasse,Alain Ducasse au Plaza Athénée,Paris 8e,75 Paris,Île-de-France
22,2016,Christian Le Squer,Le Cinq de l'Hôtel George-V,Paris 8e,75 Paris,Île-de-France
23,2017,Yannick Alléno,1947 au Cheval Blanc,Courchevel,73 Savoie,Auvergne-Rhône-Alpes
24,2018,Christophe Bacquié,Hôtel du Castellet,Le Castellet,83 Var,Provence-Alpes-Côte d'Azur
25,2019,Laurent Petit,Le Clos des sens,Annecy-le-Vieux,74 Haute-Savoie,Auvergne-Rhône-Alpes
26,2019,Mauro Colagreco,Mirazur,Menton,06 Alpes-Maritimes,Provence-Alpes-Côte d'Azur
27,2020,Christopher Coutanceau,Relais & Châteaux Christopher Coutanceau,La Rochelle,17 Charente-Maritime,Nouvelle-Aquitaine
28,2020,Kei Kobayashi,Kei,Paris 1er,75 Paris,Île-de-France
29,2020,Glenn Viel,L'Oustaù de Baumanière,Les Baux-de-Provence,13 Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
